"Culture Name

List what do people call your culture? Include nicknames, acronyms, or symbols if they exist.","Values & Traits

List what does your culture care about? What does the community value?

","Material Culture

List materials, objects, foods, images, sounds etc., that are associated with your culture.  

If not applicable, skip it.","Kinships

List which other cultures does yours connect with, borrow from, or resemble?

If not applicable, skip it.","Cultural Knowledgebase
How fixed or dynamic is your culture’s core body of knowledge? On one end are cultures with established, unchangeable texts or practices (e.g., sacred religious texts). On the other end are cultures where knowledge is open, fluid, and constantly being rewritten.",Membership Openness  ,"Language Acquisition

How difficult is it for someone new to learn and use the language of your culture? Please rate on a scale from very hard to very easy. ","Scope of Your Culture

How would you describe the scope of this culture?
(e.g., national culture, local community, hobby group, family practice, etc.)

Does it exists in more then one scope? ","Cultural Practices

How do people belong in this culture? Are there any key symbols and shared stories? What makes them feel like a part of the bigger picture?","Your Own Words
Some things about a culture can't be captured by premade categories. What did we miss? This is your space to tell us more.
What makes your culture unique?
What does your culture share in common that is meaningful to you?
What are you all about?
Your words help bring your culture to life within Belonging.
(Recommended minimum length 100 words so others can truly understand your culture.)"
Indie Music Collectors,"Community, support for idols, creativity, inclusivity, global connection.","Merchandise, lightsticks, fan art, albums, and concert videos.","Anime culture, J-Pop fans, LGBTQ+ communities, and other global fandoms.",5,2,4,Global fandom that connects locally through events and online.,"Belonging is felt through fan meet-ups, streaming parties, and supporting artists. Key symbols include lightsticks and fan chants.","K-Pop fandom is more than just music; it's a global family where love for artists unites us. We share a bond through the highs and lows of our idols' careers, creating art and community around them. The creativity within this culture is breathtaking; from elaborate fan projects to heartfelt letters, we express our admiration in unique ways. Our events, whether online or in-person, foster friendships that span the globe, often turning into lifelong connections. We embrace diversity, celebrating our differences while coming together for a common passion. Our culture is a vibrant tapestry of support, creativity, and joy that keeps expanding, inviting more into our world."
Indigenous Australian artists,"Freedom, cultural identity, hospitality, music, and unity among Kurdish people.","Kurdish carpets, traditional dresses, dolma (stuffed grape leaves), daf (drum), and poetry.","Turkish, Arabic, Persian cultures, and other minority ethnic groups in the region.",5,6,4,"Primarily regional (Middle East, especially Iraq, Turkey, Iran, Syria) with growing diaspora communities worldwide.","Cultural gatherings, music, and shared meals strengthen community bonds and identity.","Kurdish culture is a tapestry rich in history, resilience, and unity among diverse Kurdish groups. We share a common struggle for cultural recognition and freedom, which binds us together. Our language, music, and traditional arts reflect our identity and history, celebrated in gatherings and festivals. We take immense pride in our hospitality, welcoming guests with open arms and delicious traditional dishes like dolma and kebabs. Our carpets and crafts tell stories of our ancestors, while our lively music and dance keep traditions alive. As global citizens, we strive to maintain our cultural identity in the face of adversity, ensuring future generations understand and cherish their roots."
Indigenous Land Defenders,"Strong family ties, connection to land, tradition, language preservation, respect for nature.","Carved wooden sculptures, traditional clothing (piupiu), hangi (earth oven cooking), ta moko (tattoos), weaving.","Pacific Island cultures, Indigenous Australian cultures, Native Hawaiian culture.",4,5,4,"Primarily national (New Zealand), with a growing global diaspora presence.","Belonging is nurtured through participation in ceremonies, sharing oral histories, and collective knowledge transmission.","Māori culture is rich in tradition and community. Our identity is intertwined with our ancestral land and the stories passed down through generations. The concept of 'whānau' (family) extends beyond blood relations and includes all who share in our values and practices. We celebrate life through our unique arts, music, and dance, especially at pōwhiri (welcoming ceremonies). The revitalization of the Māori language is a priority for our future, ensuring our children understand their heritage and identity. We are a proud people, resilient in the face of colonization, and continue to advocate for our rights and identity in every facet of life."
International Students,"Creativity, sustainability, innovation, and collaboration.","Tools, upcycled materials, craft supplies, and prototypes.","Artisanal communities, tech enthusiasts, and educational movements.",7,6,4,"Local makerspaces, global online communities, and workshops.",Belonging is shown through participation in projects and sharing knowledge. Key symbols include maker fairs and DIY creations.,"The makers culture embodies the spirit of innovation, creativity, and collaboration. We believe in the power of hands-on learning and the importance of sharing skills to inspire others. Our community is a melting pot of individuals who come together not only to create but to challenge the conventional ideas of production and consumption. We prioritize sustainability by upcycling materials and exploring alternative methods of making, reflecting a larger movement towards environmental consciousness. With each project, we tell stories of resourcefulness and ingenuity, fostering a sense of belonging that transcends geographical boundaries. Whether it’s at a local makerspace or a global online forum, our culture is defined by the joy of creation and the desire to empower ourselves and others through making."
Italian,"Creativity, storytelling, community engagement, and passion for Japanese culture.","Manga books, anime figures, cosplay costumes, themed cafes, and fan art.","Anime culture, gaming community, and Japanese traditional art.",7,5,3,"Global fandom with local meetups and conventions, but strong online presence.","Belonging comes from sharing interests and attending conventions, where cosplay and fan art are celebrated. Key symbols include iconic characters and genres.","The manga fan culture is a vibrant tapestry woven from the love of storytelling, art, and community. It offers a unique avenue for expressing individuality through cosplay, fan art, and discussions around beloved series and characters. We connect with one another through shared experiences at conventions, online forums, and local meetups, where we can express our creativity and passion. This culture encourages diversity, as it embraces a wide range of stories from various genres, appealing to many backgrounds and age groups. The joy of discovering new series or characters and the thrill of sharing them with others fosters a sense of belonging that transcends geographical boundaries."
Italian folk musicians,"Balance, harmony, respect for nature, storytelling, family.","Woven rugs, turquoise jewelry, frybread, traditional songs, sand paintings.","Other Indigenous cultures in the Southwest, such as Hopi and Zuni.",5,3,6,Primarily local community with national recognition.,"Belonging is fostered through participation in ceremonies, storytelling, and community events. Key symbols include the eagle and the four sacred mountains.","Navajo culture is rich in tradition and spirituality, emphasizing balance with nature and community. We believe in the interconnectedness of all living things, and our ceremonies often reflect this belief. Our language and stories are vital for passing down knowledge through generations. Each gathering is an opportunity to teach the youth about our history and values. Our arts and crafts not only showcase our heritage but also carry our stories, making them a form of communication. Through our connections to the land and our ancestors, we celebrate our identity and strive to maintain our way of life while engaging with modern society."
Japanese,"ultimately we want to raise children to be happy, healthy and at peace. Our values include care for mind and body, instilling good values, supporting personal and social development, presenting challenges and encouragement to promote development.","books, toys, spaces","environmentalism, human development, socialization",4,1,2,global,"parenting stories are widely shared. symbols include a general look of tiredness and dishevelled appearance, easily distracted","This culture transcends territorial and generational boundaries, though subcultures exist within these and other boundaries. Membership can be intentional or accidental."
Japanese tea ceremony practitioners,"Connection to nature, nurturing, sustainability, community sharing.","Potted plants, gardening tools, potting soil, plant care guides.","Gardening communities, sustainability advocates, herbalists.",5,6,2,Local community with an active online presence.,"Belonging is built through plant swaps, sharing care tips, and community gardening events. Symbols include potted plants and gardening tools.","The plant parent culture celebrates the joy of nurturing greenery and fostering connections with nature. We come together to share our love for plants, exchanging tips on care, propagation, and plant selection. Our community thrives on inclusivity, welcoming individuals of all experience levels—from seasoned gardeners to those just starting their plant journey. Through plant swaps, workshops, and online discussions, we build bonds that go beyond just caring for plants; we form friendships rooted in a shared appreciation for nature and sustainability. Each plant tells a story, representing growth, resilience, and beauty, making our culture a nurturing space that values both the environment and our connections with each other."
Japanese Zen Gardening,"Storytelling, connection, authenticity, sharing knowledge.","Microphones, recording equipment, editing software, logos.","Media creators, bloggers, YouTubers.",5,6,3,Global with local meetups and networks.,"Belonging is nurtured through collaboration, feedback sessions, and shared experiences. Symbols include logos and theme music.","The podcast creators' culture is a dynamic space where voices come together to share stories, ideas, and experiences. We are driven by a passion for storytelling and a desire to connect with audiences on a personal level. Each episode is crafted with care, aiming to provide entertainment, education, or inspiration. Our community thrives on authenticity, encouraging creators to be themselves and share their unique perspectives. Regular meetups and brainstorming sessions foster collaboration and support, creating a culture that values inclusivity and creativity. As a collective, we celebrate diversity in voices and topics, making our culture a rich tapestry of narratives that resonate with listeners around the globe."
"jazz, turks, muslim, christian, artisan","Family, community, agricultural heritage, music, and hospitality.","Bhangra music, sarson da saag, makki di roti, traditional attire (phulkari), and vibrant festivals.","Indian, Sikh, and other South Asian cultures.",4,5,3,Primarily regional (Punjab region) but with a global diaspora.,"Community gatherings, sharing meals, and participating in festivals foster a sense of belonging.","Punjabi culture is a vibrant expression of life filled with color, music, and joyous gatherings. We take immense pride in our agricultural roots, where the land is more than just a livelihood; it is our connection to family and our ancestors. The lively beats of Bhangra music resonate during celebrations, uniting us in dance and laughter. We cherish our traditions, whether it's wearing beautiful phulkari embroidery or sharing hearty meals of sarson da saag and makki di roti. Festivals like Lohri and Baisakhi are not just events; they are moments of collective joy and remembrance, reinforcing our communities and heritage. Our culture thrives on hospitality, ensuring every guest feels like family."
Knitting Circle,"Inclusivity, representation, critical discussion, community support.","Books, bookmarks, cozy reading spaces, themed snacks.","LGBTQ+ communities, feminist literature groups.",6,5,2,"Local community with online presence, including national discussions.","Belonging is fostered through engaging discussions, book selections that resonate, and shared experiences.","The Queer Book Club is a safe haven for those seeking connection through literature that reflects our diverse experiences. We explore works by LGBTQ+ authors and those that tackle themes of identity, love, and resilience. Each meeting is an opportunity for members to express their thoughts freely, share personal stories, and create lasting friendships. Our discussions weave together literature and life experiences, highlighting the importance of representation in storytelling. We celebrate our identities and foster understanding through shared narratives, making every reading a journey of discovery and acceptance. Collectively, we create a culture that values every voice, ensuring that everyone feels seen and heard."
"Korea, SK, Asian, Are you north or south (lol), Historic nickname of ""The Land of the Morning Calm""","Spirituality, social justice, repatriation, and unity.","Dreadlocks, reggae music, Ital food, and the Lion of Judah symbol.",Pan-African movements and other diasporic groups.,2,4,6,"Global, with strong roots in Jamaica and the Caribbean.","Community gatherings, music festivals, and shared meals are vital. The Lion of Judah embodies our resistance and heritage.","Rastafari is more than a religion; it is a way of life rooted in a deep spiritual connection to the divine and a call for social justice. Our beliefs are influenced by African heritage and the teachings of Haile Selassie I. We embrace a natural lifestyle, often seen in our Ital food, which promotes health and wellness. Music, especially reggae, is our voice, expressing struggles, love, and hope. We believe in unity among all people, transcending borders and divisions. Together, we strive for repatriation to Africa and the upliftment of our communities. Our distinct symbols, like the Lion of Judah, remind us of our strength and resilience as a people."
K-Pop Fandom,"Freedom, family, storytelling, music, and respect for traditions.","Colorful textiles, traditional music instruments like the violin, and festivals celebrating heritage.","Other nomadic cultures, local communities in various countries.",3,5,5,Transnational presence with a rich variety of local expressions across Europe and beyond.,"Belonging is cultivated through storytelling, music, and participation in communal festivals.","Romani culture is a vibrant tapestry of stories, music, and traditions that have adapted over centuries while maintaining their core essence. Our roots trace back to an ancient nomadic lifestyle, and while we now live in various communities across Europe, the spirit of freedom and resilience remains integral to our identity. We express ourselves through our rich musical heritage, from spirited violin performances to heartfelt songs that tell the tales of our ancestors. Family and community are at the heart of our culture, where we gather to share stories and celebrate our traditions. We are often misunderstood, but we embrace our uniqueness and strive to share our vibrant culture with the world."
K-Pop Fans,"Team spirit, sportsmanship, camaraderie, and physical fitness.","Rugby balls, jerseys, scrum caps, nachos, and chants.","Other sports communities, particularly team sports like soccer and cricket.",5,4,3,"Local clubs, national leagues, and international competitions.","Belonging is through participation in matches, local clubs and sharing experiences at games. Symbols include team logos and national anthems.","Rugby union culture is deeply rooted in tradition and community, characterized by a shared love for the game. We value resilience, teamwork, and respect, which are evident on and off the field. The intense camaraderie that develops among players and supporters sets us apart, creating bonds that last a lifetime. Game days are a highlight, filled with excitement, chants, and cheers, where we unite as one, regardless of background. Our culture extends beyond the pitch; it’s about shaping individuals through the values of hard work and sportsmanship. The fierce competition, combined with the spirit of friendship, brings us together, making rugby union more than just a sport; it’s a way of life."
Kurdish,"Connection to nature, sustainability, community, language preservation, reindeer husbandry.","Traditional clothing (gákti), reindeer hides, duodji (handicrafts), joik (traditional singing).","Indigenous cultures of the Arctic, Nordic cultures, other Sámi groups across borders.",6,4,5,"Transnational presence across Norway, Sweden, Finland, and Russia, with strong local community ties.","Engaging in reindeer herding, traditional crafts, and community festivals fosters belonging.","The Sámi culture is characterized by a deep-rooted connection to the Arctic landscape and a sustainable lifestyle centered around reindeer herding. Our identity is interwoven with the land, seasons, and the animals that we depend on. We treasure our languages, which convey our history and worldview, and work tirelessly to keep them alive amidst globalization. Our traditional clothing, gákti, reflects our rich heritage and is worn with pride during festivals and gatherings. Joik, our traditional singing, tells stories and connects us to our ancestors. We embrace modernity while honoring our past, striving to create a future where our culture thrives in harmony with nature."
Latino,"Joy of movement, connection, rhythm, community building, self-expression.","Dancing shoes, vibrant clothing, Latin music, salsa clubs, dance floors.","Cuban dance, ballroom dancing, Latin music genres.",4,3,2,Local community with international connections through dance festivals.,"Belonging is fostered through dance classes, meetups, and social events. Key symbols include the salsa dance itself and the vibrant community energy.","The salsa dance community is a vibrant and welcoming space where everyone is encouraged to express themselves through movement. It's not just about the dance steps; it's about the connection and energy shared with others on the dance floor. People of all skill levels come together, united by their love for rhythm and creativity. Many have stories of how salsa dancing has transformed their lives, offering them confidence and a sense of belonging. The music fuels our spirits, and each dance is an opportunity to celebrate joy, culture, and community. Together, we create an atmosphere of acceptance and passion, where every twirl and spin brings us closer."
Māori,"Joy, celebration, rhythm, and community.","Colorful costumes, percussion instruments, street food, and festive decorations.","Carnival cultures, Afro-Brazilian traditions, and other dance communities.",6,6,4,"Local community events, national festivals, and international competitions.",Belonging is through participation in parades and community performances. Key symbols include the samba beat and iconic costumes.,"Samba dancing is more than just a form of expression; it's a celebration of life, community, and cultural heritage. Originating in Brazil, samba embodies the rhythm of joy and the spirit of togetherness. We come together during vibrant festivals and parades, adorned in colorful costumes, moving to the infectious beats of drums and percussion. Each step tells a story, echoing the history of resilience and creativity within our communities. The warmth of shared experiences, laughter, and dancing unites us, transcending barriers. Our culture thrives on innovation and adaptation, as we continuously evolve while honoring our roots. Samba is not just a dance; it’s a way to connect, uplift, and inspire each other."
"Makers, DIY enthusiasts","Nature, tradition, community, sustainability, resilience.","Reindeer, traditional clothing, yoik, fishing gear, crafts, nature motifs.","Indigenous cultures in Scandinavia, Arctic cultures.",5,4,6,"Primarily local, with aspects recognized nationally.","Belonging is created through seasonal rituals, traditional crafts, and community gatherings. Key symbols include the reindeer and traditional drums.","Sami culture, deeply entwined with the Arctic landscape, embraces the natural world as a source of identity and sustenance. Our connection to reindeer herding shapes our way of life, traditions, and communal values. We emphasize sustainability, ensuring that our practices respect the environment and preserve it for future generations. Our music, particularly yoik, carries stories and emotions that resonate with the beauty of nature and our ancestry. Gathering together for seasonal celebrations reinforces our bonds, allowing us to share knowledge and preserve our heritage. In a rapidly changing world, we strive to hold onto our traditions while adapting, ensuring the Sami identity thrives."
"Manga Fans, Otaku","Sustainability, local food sourcing, community connection, preserving culinary traditions.","Organic produce, farmer's markets, artisanal bread, local wines, traditional cooking methods.","Farm-to-table, organic agriculture, community-supported agriculture (CSA).",5,4,3,"Local and global, with roots in many countries promoting sustainable food.","Participation in local food events, sharing recipes, supporting local farmers. Symbols include the Slow Food snail logo.","The Slow Food Movement is about more than just food; it's a commitment to community and environmental sustainability. We aim to reconnect people with the joys of eating locally and seasonally, making choices that support the farmers who grow our food. Participants often share stories of family recipes, cherished meals, or local producers they know personally, emphasizing the importance of these connections. We believe that enjoying food is a communal experience that should honor the land and the people who cultivate it. Together, we create a culture that celebrates flavor, tradition, and respect for our planet."
"Mexican, regia, latina","Creativity, social justice, community expression, and urban transformation.","Spray paint, stencils, murals, public spaces, and art supplies.","Graffiti culture, activist communities, and urban art movements.",6,3,2,"Local and global, with public art festivals and online networks.",Belonging is cultivated through collaborative murals and community workshops. Symbols include spray cans and iconic artworks.,"Street art culture thrives on the pulse of urban life, transforming mundane spaces into vibrant canvases. We believe in the power of art as a voice for change, reflecting the stories and struggles of our communities. Each mural is a testament to creativity, resilience, and expression, inviting dialogue on social issues. Our community is inclusive and diverse, welcoming artists of all backgrounds who wish to share their vision. We value collaboration, often working together to create large-scale pieces that beautify and inspire. This culture is about more than artistry; it’s about using our talents to spark conversations and uplift those who feel unheard, making every spray can a tool for change."
"Michigan Alumni, Wolverines","Ethical production, environmentalism, creativity, individuality.","Upcycled garments, eco-friendly fabrics, thrifted finds, sewing tools.","Veganism, environmental activists, DIY communities.",5,6,3,Local initiatives with a growing global online presence.,"Belonging is created through clothing swaps, DIY workshops, and online discussions.","The sustainable fashion movement is about more than just wearing clothes; it’s a lifestyle that embraces responsibility and creativity. We seek to challenge the fast fashion industry by promoting ethical production practices and raising awareness about the environmental impact of our choices. Through thrift shopping, upcycling, and DIY projects, we create unique garments that tell our stories while minimizing waste. Our community is inclusive and diverse, where we share tips, swap clothes, and celebrate individual expression through personal style. We encourage one another to think critically about consumption and inspire change, proving that fashion can be a force for good in the world. Together, we cultivate a culture that values sustainability and creativity, paving the way for a more conscious future."
Navajo,"Creativity, storytelling, inclusivity, imagination, and collaboration.","Dice, character sheets, rulebooks, miniatures, maps, and snacks.","Video gamers, writers, fantasy enthusiasts, and cosplay communities.",4,2,3,"Local game stores, online communities, and conventions worldwide.","Belonging comes from participating in campaigns, creating characters, and sharing stories. Symbols include dice and books.","Tabletop RPG culture is a vibrant tapestry woven from imagination, collaboration, and storytelling. We gather around tables, fueled by snacks and caffeine, creating worlds and characters that take us on epic adventures. The dice rolling represents not just chance but the spirit of teamwork and creativity. Each campaign builds friendships and memories, rich with laughter, tension, and triumph. Inclusivity is a cornerstone, welcoming anyone who wants to explore the realms of fantasy, regardless of experience. Our community thrives on creativity, often leading to beautiful art and compelling narratives. Whether slaying dragons or forging alliances, we find joy in each other’s stories, creating a culture that is as diverse as the players themselves."
neuroscientist,"Innovation, collaboration, risk-taking, disruption.","Laptops, co-working spaces, tech gadgets, networking events.","Entrepreneurs, investors, tech enthusiasts.",6,5,4,Global community with local hubs in tech-centric cities.,"Belonging is fostered through hackathons, pitch competitions, and networking meetups.","The tech startup culture is a dynamic and fast-paced environment where innovation is the heartbeat. We are a mix of visionary thinkers, creators, and doers, constantly pushing the boundaries of what technology can achieve. Our community thrives on collaboration and support, with a strong emphasis on learning and growth. We share a collective dream of building solutions that can disrupt industries and improve lives, often transforming our ideas into tangible products that resonate with users. Through various events like hackathons and pitch days, we celebrate not only the success of our projects but also the journey of entrepreneurship, embracing the failures and lessons learned along the way. Our culture is rooted in the belief that anyone can be a changemaker, and together, we empower each other to take risks and innovate boldly."
Nobel Laureate,"An urban ecological culture fundamentally values reciprocity between the built and natural environments, which translates into a community that prioritizes functional, native green infrastructure for stormwater management, cooling, and biodiversity over purely aesthetic landscaping. This community deeply cares about equitable access to these ecological benefits, viewing green space as a essential right for health and well-being, not a luxury. These values manifest in the core traits of adaptive resilience and shared stewardship, seen in the promotion of mixed-use, walkable neighborhoods, robust active transportation networks, and participatory governance models that treat the city not as a separate entity from nature, but as a deeply integrated, socio-ecological system.","The material culture of this urban ecology is felt in the rough texture of permeable pavers underfoot, the sight of rain gardens brimming with native sedges, and the rusted Corten steel of bioswales that blend engineered function with natural aesthetic. It smells of damp soil after a storm and the sweet scent of linden trees along green corridors, and it sounds like the quiet hum of an electric bus paired with the dawn chorus of sparrows nesting in green roofs. This culture harvests its food from community garden plots and forages native berries from public parks, while its iconic images are not of stark skylines but of layered cross-sections revealing the hidden life of mycelial networks and root systems beneath the city's surface, visualizing the entire urban landscape as a living, breathing organism.","Our urban ecological culture deeply resonates with and actively borrows from Indigenous stewardship practices, learning principles of reciprocal land management and long-term intergenerational thinking. We connect with Nordic urbanism through its integration of nature into daily civic life and robust public infrastructure, and we resemble Japanese urban design in its meticulous miniaturization of nature and appreciation for the aesthetic of the weathered and functional. Furthermore, we draw strong kinship with maker and hacker cultures in our ethos of adaptive reuse, repurposing materials, and open-source design, and we align with the decentralized resilience of permaculture movements, applying its zoning and closed-loop principles to the scale of the neighborhood and city block.",1,1,3,"This culture exists primarily as a translocal network, rooted most vitally at the municipal and neighborhood scale where its principles are physically implemented and socially practiced. Its most authentic scope is the bioregional urban community, defined by a shared watershed, climate, and native ecology. However, it simultaneously operates at a global, conceptual scope as a philosophical and professional movement, connecting practitioners worldwide through shared literature, conferences, and digital platforms that exchange adaptive strategies for resilient city design, making it a globally-informed but locally-manifested culture.","Belonging is cultivated through hands-on, participatory practices like citizen science bio-blitzes, community planting days, and maintaining little free libraries for seed and tool sharing. Key symbols include the Miyawaki mini-forest, the cross-sectional diagram of a soil cell, and the ""sponge city"" as an emblem of urban hydrology. Shared stories often revolve around the revitalization of a specific neglected lot into a community hub or the return of a native species like the peregrine falcon, narrating a collective victory. Practitioners feel part of the bigger picture by seeing their hyper-local actions—a planted tree, a monitored beehive—contribute to tangible, city-wide metrics of resilience: reduced urban heat, increased pollinator counts, and a rewilded skyline, connecting their labor to a measurable, shared metabolism.","What truly defines us, beyond any single practice or symbol, is a profound sense of becoming—a quiet rewilding of the urban soul. We are not just installing green infrastructure; we are learning a new language spoken by native plants, rainfall, and soil microbes. Our shared meaningful commonality is the deeply held belief that a city's highest achievement is not its GDP, but its ecological intelligence—its capacity to shelter both human and non-human life in a mutually beneficial partnership. We are about healing the false dichotomy between the metropolis and the natural world, finding awe not in pristine wilderness but in the resilient crack of a sidewalk where life erupts, and in the engineered grace of a bridge that doubles as a bat roost. This culture is unique in its optimistic, forward-looking melancholy; we grieve the losses of the Anthropocene while actively, joyfully building the ark of the next one, block by block. We are about the practical magic of making a home for the future, right here, in the neglected soils of the present."
parents,"Sustainability, resourcefulness, connection to nature, community sharing.","Foraging baskets, field guides, wild food community meals, maps.","Permaculture, conservationists, environmental activists.",5,4,3,Primarily local with a focus on urban settings and workshops.,"Belonging is created through guided foraging walks, shared meals, and community knowledge exchanges. Symbols include wildflower guides and foraging maps.","The urban foraging community is a movement rooted in reconnecting with nature within city landscapes. We believe that the city is not just pavement, but a living ecosystem brimming with edible and medicinal plants. Our culture thrives on the principles of sustainability and resourcefulness, encouraging members to explore, gather, and share wild foods while respecting the environment. Together, we hold workshops and community foraging events, where stories and knowledge are exchanged, fostering a sense of belonging. Our shared goal is to educate others about the abundant resources around them, and every foraged meal is a celebration of the vibrant relationship between urban spaces and nature, which makes our culture truly unique."
Plant Parents,"Innovation, immersive experiences, shared adventures, social connection.","VR headsets, motion sensors, gaming platforms, digital environments.","Gamers, tech innovators, digital artists.",6,5,3,Emerging global community with local VR meetups.,"Belonging is fostered through shared gameplay experiences, VR meetups, and collaborative creations.","The virtual reality enthusiasts’ culture is an exhilarating frontier of technology, creativity, and human connection. We immerse ourselves in digital realms that evoke emotions, challenge perceptions, and inspire collaboration. Our community thrives on exploring new virtual landscapes, whether it's through games, art installations, or educational simulations. We gather for VR experiences, share tips on the latest tech, and collaborate on projects that push the boundaries of what is possible in virtual spaces. Our culture values inclusivity, inviting individuals from all walks of life to join us in shaping the future of immersive experiences. Each encounter within the virtual world fosters connections and friendships that extend beyond the headset, making our collective journey one of exploration and discovery. Together, we envision and create a world where reality and imagination converge seamlessly."
Podcast Creators,"Community, respect, tradition, courage, storytelling.","Beaded jewelry, traditional clothing, braai, drums, shields, spear.","Other South African ethnic groups, African cultures in general.",4,3,5,"National and local community, with a rich oral tradition.","Belonging is fostered through community gatherings, rituals, and the oral sharing of history. Key symbols include the lion and the shield.","Zulu culture is vibrant and rich with history, rooted in strong community values. We place immense importance on respect and the teachings of our ancestors, which guide our actions and interactions with nature and others. Our oral traditions are a treasure, where stories of bravery and wisdom are passed down through generations. We celebrate our culture through music, dance, and art, which are not merely forms of expression but also a means of preserving our identity. We find strength and unity in our gatherings, where laughter and shared stories weave our bonds tighter, reminding us of who we are and where we come from."
Punjabi,"grounded, empathetic, giving back to the community, family, strong moral values ","tacos, mariachis, pyramids, beaches, jungles, football (soccer), day of the dead, cowboy hats and boots, alebrijes, plazas",,7,7,1,national and family,"complaining about the government lol, unity in emergencies/ natural disasters, dancing and singing","We all have each others backs and we are brutally honest. We will never ever allow a family member to go to a elderly home, if anything, they come back to live with us. We are very proud of our nationality despite all the corruption and violence, economically affluent people (at least in my city) would rather stay and become involved in improving the quality of life of the less affluent in the city, than move to a different country to seek greater comfort (despite the violence that surrounds us). Mexicans will smile through hardships and though discomfort, no matter the horrible circumstances one may be in, they will generally greet you with a smile and usually have a positive outlook on life. We also have the best hospitality in the world because people working in service (restaurants, hotels etc) will treat you like a family member, they work with upmost seriousness and professionalism while maintaining a strong sense of humanity and warmth. We also have regular meals with our extended families, I have a meal with all my cousins twice a week. And we cook in community, when we gather a lot of the time we are cooking (carne asadas in the north)."
Queer Book Club,"family, hospitality, traditions, history","tea glass, gyro, baklava, kebab","all the countries that were in the ottoman empire (greek, all balkans, mediterranean, north african, armenia azerbaijan iran iraq syria saudi arabia)",5,5,4,"national, local, universal","language, shared fabricated history (propaganda), shared values and traditions",
rapper,"passion, intensity, friendship, politics, dollar exchange rate, enjoyment, pride, culture, sports","hug, kiss, asado, futbol, mate, dulce de leche, empanadas, alfajor, choripan, tango, soda siphon, messi, gaucho, dont cry for me argentina ","spanish, italian, Indigenous, paraguay, bolivia, venezuela",3,4,1,national,being born or living > x years,"It is delirium, pride, heart, irony, hope with no logic, romanticized decay, the intensity of feeling, of my opinion, and of what others do wrong. It is the hug, holding each other close and kissing even if I do not know you, whether you are a friend, family, or enemy. It is football, politics, and the rise and fall of the dollar. So much contradiction of I love you and I hate you. Many flaws, but without a doubt there is life. And a raw kind of humanity that feels fully alive."
Rastafari,"Family, food, nature","Reggeaton, orchids","Native American, European, African American ",6,5,1,"International, national",International stereotypes,"The way I identify my culture depends on who is asking. This being a survey in English I identify with Latino because within that context, that is what sets me apart. If I were asked that among other Latin people, I’d say Colombian. If I were asked by another Colombian I would say “rola”. So I think the scope question was a bit tricky in that sense. "
Romani,"Honour, Loyalty, Kin, Clann","Fiddlle music, swords, forests, water, shortbread, whiskey, blue, tattoos","Connect with, First Nations, Maori and other such cultures",4,7,5,"In a coopted sense global, in a real sense kin","Other cultures you are born to them, Celt you are made. Key symbol the Tree of Life","Two things. Survival, over two thousand years of colonialism and being told you do not even exist and yet you stand, cause the last thing the Europeans want is to come to terms with there still existing a First Nations people on this land. The Great Roman and English Empires who conquered mass parts of the globe could not conquer fully the Celts. The Chinese claim the Xia and 5000 years of history which would entail Nüwa being real. Yet we Celts are told that we are not connected to our ancestors the lands or anything of the like, yet the Chinese are? Survival in spite of such dogmatic hatred is key to a Celt, there is a reason why it is said we cannot be psychoanalysed. The 2nd we never get the credit for anything we do or deserve, yet we keep doing it without the need for praise. You might see the Irish get credit for boxing or something like that. But go through your Olympic swimming medals and you will see Celts all over the place and if any other culture popped up as often news reports would say how come Kenyans are so good at marathons or Jamaican culture reigns supreme at Sprinting. But the Celts are not doing it for one Country. American wins chances are it is a Celt like Katie Ledecky. Canada wins chances are it is a Celt Summer McIntosh, Hong Kong wins chances are it is a Celt like Siobhan Haughey. Celts have won more medals in swimming than most countries have won medals and yet the word Celt does not even appear next anyone of the winners names. Imagine that level of survival of fight and that is a Celt."
Rugby Union Fans,"Respect, dignity, manners towards the weak, being on time, appreciating the other person's value, being extremely mannered and thoughtful. Being an inconvenience / inflicting rudeness is the worst you can do..there is literally a word for this behavior called 민폐 (min-pae)","K-drama, K-pop, K-food, spicy foods, Hanbok, a lot of famous Netflix shows, weird and funny election videos (they do funny character CGI on the election candidates). Democracy, peaceful protests, ordered society, advanced in technology, Miracle of Hankang River, etc.","Historically tangled with other East Asian countries like Japan and China. Influenced each other over time, but also have very distinct and different features in all areas, such as architecture, cultural wear, food, type of humor, etc.",2,5,5,"National culture...but very deep historical community values called 유교 (Yugyeo) where you should respect and be mannerful to those around you, especially the elders.","Homogeneous race...sometimes it is hard for naturalized citizens to feel like they ""truly"" belong. Everyone shares historical story of grandparents generations going through Korean War, ancestors lived through Joseon Dynasty and also Japanese Colonialism era, etc. Key symbols include Mugeungwha (national flower) and language of Hangeul (only language in the world where we know the actual creator and exact year, King Sejong the Great in 1443) ","""Jeong"" or 정 is a really unique cultural feature...where Korean people have a tendency to take care of others in a warm direct or may be indirect way. For example, you visit a new area of Korea for the first time, and since you are a foreigner, local people may look at you with curiosity and alertness. Yet they will still come up to you and give you local foods to try, help you with directions actively, ask about your background and offer you unexpected kindness...it's a really commonly shared culture. "
